"year","month","overall_index"
1967,"M01",34.8
1967,"M02",34.7
1967,"M03",34.7
1967,"M04",34.6
1967,"M05",34.6
1967,"M06",34.9
1967,"M07",35
1967,"M08",35.2
1967,"M09",35.2
1967,"M10",35.3
1967,"M11",35.4
1967,"M12",35.5
1968,"M01",35.5
1968,"M02",35.7
1968,"M03",35.8
1968,"M04",36
1968,"M05",36.1
1968,"M06",36.1
1968,"M07",36.2
1968,"M08",36.3
1968,"M09",36.5
1968,"M10",36.8
1968,"M11",36.8
1968,"M12",37
1969,"M01",37
1969,"M02",37
1969,"M03",37.1
1969,"M04",37.4
1969,"M05",37.6
1969,"M06",38
1969,"M07",38.2
1969,"M08",38.4
1969,"M09",38.6
1969,"M10",38.7
1969,"M11",39.1
1969,"M12",39.5
1970,"M01",39.6
1970,"M02",39.8
1970,"M03",39.8
1970,"M04",39.9
1970,"M05",40.1
1970,"M06",40.1
1970,"M07",40.2
1970,"M08",40.2
1970,"M09",40.4
1970,"M10",40.5
1970,"M11",40.4
1970,"M12",40.5
1971,"M01",40.5
1971,"M02",40.5
1971,"M03",40.9
1971,"M04",41.1
1971,"M05",41.3
1971,"M06",41.5
1971,"M07",41.6
1971,"M08",41.6
1971,"M09",41.6
1971,"M10",41.7
1971,"M11",41.9
1971,"M12",42.3
1972,"M01",42.2
1972,"M02",42.6
1972,"M03",42.6
1972,"M04",42.6
1972,"M05",42.7
1972,"M06",42.8
1972,"M07",43.1
1972,"M08",43.1
1972,"M09",43.5
1972,"M10",43.7
1972,"M11",43.9
1972,"M12",44.1
1973,"M01",44.8
1973,"M02",45.5
1973,"M03",46.5
1973,"M04",47.2
1973,"M05",47.8
1973,"M06",48.3
1973,"M07",48.4
1973,"M08",50.9
1973,"M09",50.9
1973,"M10",51.2
1973,"M11",51.8
1973,"M12",52.3
1974,"M01",52.9
1974,"M02",54
1974,"M03",54.5
1974,"M04",54.4
1974,"M05",54.8
1974,"M06",54.9
1974,"M07",54.8
1974,"M08",55.5
1974,"M09",56.6
1974,"M10",57.2
1974,"M11",57.9
1974,"M12",58.6
1975,"M01",58.8
1975,"M02",59
1975,"M03",58.9
1975,"M04",58.8
1975,"M05",59
1975,"M06",59.6
1975,"M07",60.6
1975,"M08",60.7
1975,"M09",61
1975,"M10",61.6
1975,"M11",62
1975,"M12",62.3
1976,"M01",62.2
1976,"M02",61.6
1976,"M03",61.3
1976,"M04",61.3
1976,"M05",61.6
1976,"M06",61.7
1976,"M07",62
1976,"M08",62.2
1976,"M09",62.5
1976,"M10",62.8
1976,"M11",62.8
1976,"M12",62.9
1977,"M01",63.1
1977,"M02",64.2
1977,"M03",64.5
1977,"M04",65.2
1977,"M05",65.5
1977,"M06",65.9
1977,"M07",66.1
1977,"M08",66.4
1977,"M09",66.6
1977,"M10",66.8
1977,"M11",67.4
1977,"M12",67.5
1978,"M01",68.1
1978,"M02",68.8
1978,"M03",69.6
1978,"M04",70.7
1978,"M05",71.7
1978,"M06",72.8
1978,"M07",73.1
1978,"M08",73.4
1978,"M09",73.7
1978,"M10",74.3
1978,"M11",74.8
1978,"M12",75.2
1979,"M01",76.5
1979,"M02",77.7
1979,"M03",78.4
1979,"M04",78.9
1979,"M05",79.7
1979,"M06",80
1979,"M07",80.4
1979,"M08",80.3
1979,"M09",80.9
1979,"M10",81.5
1979,"M11",82.1
1979,"M12",82.8
1980,"M01",83.3
1980,"M02",83.4
1980,"M03",84.1
1980,"M04",84.6
1980,"M05",85.2
1980,"M06",85.7
1980,"M07",86.5
1980,"M08",87.9
1980,"M09",88.9
1980,"M10",89.6
1980,"M11",90.6
1980,"M12",91.2
1981,"M01",91.5
1981,"M02",92
1981,"M03",92.5
1981,"M04",92.6
1981,"M05",92.7
1981,"M06",93.1
1981,"M07",93.8
1981,"M08",94.3
1981,"M09",94.7
1981,"M10",94.8
1981,"M11",95
1981,"M12",95.2
1982,"M01",95.5
1982,"M02",96.2
1982,"M03",96.1
1982,"M04",96.3
1982,"M05",97.1
1982,"M06",98
1982,"M07",98.1
1982,"M08",97.9
1982,"M09",98
1982,"M10",98.1
1982,"M11",98.2
1982,"M12",98.1
1983,"M01",98
1983,"M02",98.2
