"year","month","overall_index","utilities_index"
1967,"M01",30.5,21.3
1967,"M02",30.5,21.3
1967,"M03",30.5,21.3
1967,"M04",30.6,21.3
1967,"M05",30.7,21.3
1967,"M06",30.7,21.4
1967,"M07",30.8,21.4
1967,"M08",30.9,21.5
1967,"M09",31,21.6
1967,"M10",31,21.6
1967,"M11",31.1,21.5
1967,"M12",31.2,21.5
1968,"M01",31.3,21.5
1968,"M02",31.4,21.6
1968,"M03",31.5,21.6
1968,"M04",31.6,21.6
1968,"M05",31.7,21.7
1968,"M06",31.9,21.7
1968,"M07",32.1,21.8
1968,"M08",32.3,21.8
1968,"M09",32.4,21.8
1968,"M10",32.5,21.8
1968,"M11",32.7,21.8
1968,"M12",32.9,21.8
1969,"M01",33,21.8
1969,"M02",33.1,21.8
1969,"M03",33.4,21.9
1969,"M04",33.6,22
1969,"M05",33.7,22
1969,"M06",33.9,22.1
1969,"M07",34.1,22.1
1969,"M08",34.3,22.2
1969,"M09",34.5,22.3
1969,"M10",34.7,22.4
1969,"M11",34.8,22.5
1969,"M12",35,22.5
1970,"M01",35.1,22.6
1970,"M02",35.4,22.6
1970,"M03",35.8,22.7
1970,"M04",35.9,22.8
1970,"M05",36.1,22.9
1970,"M06",36.3,22.9
1970,"M07",36.5,23
1970,"M08",36.6,23.2
1970,"M09",36.9,23.4
1970,"M10",37.1,23.6
1970,"M11",37.3,23.8
1970,"M12",37.4,23.9
1971,"M01",37.5,24
1971,"M02",37.5,24.2
1971,"M03",37.4,24.3
1971,"M04",37.4,24.4
1971,"M05",37.6,24.5
1971,"M06",37.9,24.7
1971,"M07",38.1,24.8
1971,"M08",38.2,25
1971,"M09",38.4,25.1
1971,"M10",38.5,25.1
1971,"M11",38.6,25
1971,"M12",38.7,25.3
1972,"M01",38.9,25.3
1972,"M02",39,25.3
1972,"M03",39,25.4
1972,"M04",39.1,25.5
1972,"M05",39.2,25.6
1972,"M06",39.4,25.7
1972,"M07",39.6,25.8
1972,"M08",39.7,25.9
1972,"M09",39.8,25.9
1972,"M10",39.8,26
1972,"M11",39.9,26.1
1972,"M12",40.1,26.1
1973,"M01",40.1,26.3
1973,"M02",40.2,26.5
1973,"M03",40.4,26.6
1973,"M04",40.5,26.8
1973,"M05",40.6,27
1973,"M06",40.9,27.2
1973,"M07",41,27.3
1973,"M08",41.3,27.5
1973,"M09",41.7,27.7
