"year","month","overall_index","motor_fuel_index"
1967,"M01",32.6,26.2
1967,"M02",32.8,26.2
1967,"M03",32.8,26.1
1967,"M04",33,26.4
1967,"M05",33.1,26.4
1967,"M06",33.1,26.4
1967,"M07",33.3,26.4
1967,"M08",33.4,26.4
1967,"M09",33.7,26.7
1967,"M10",33.6,26.4
1967,"M11",33.9,26.8
1967,"M12",33.9,26.4
1968,"M01",34.1,26.7
1968,"M02",34.2,26.8
1968,"M03",34.2,26.7
1968,"M04",34.1,26.5
1968,"M05",34.1,26.6
1968,"M06",34.3,26.7
1968,"M07",34.3,26.7
1968,"M08",34.4,27
1968,"M09",34.4,26.8
1968,"M10",34.5,26.9
1968,"M11",34.7,27.1
1968,"M12",34.5,26.8
1969,"M01",34.7,27.1
1969,"M02",35.2,27.2
1969,"M03",35.8,27.6
1969,"M04",35.8,27.9
1969,"M05",35.5,27.8
1969,"M06",35.6,28
1969,"M07",35.6,27.8
1969,"M08",35.7,27.8
1969,"M09",35.6,27.7
1969,"M10",35.9,27.7
1969,"M11",36,27.5
1969,"M12",36.2,27.7
1970,"M01",36.6,27.6
1970,"M02",36.7,27.7
1970,"M03",36.6,27.2
1970,"M04",37.1,28.3
1970,"M05",37.2,28.1
1970,"M06",37.4,27.8
1970,"M07",37.6,28
1970,"M08",37.5,27.5
1970,"M09",37.7,27.7
1970,"M10",38.1,28.1
1970,"M11",38.5,28.2
1970,"M12",38.9,28.4
1971,"M01",39.2,28.5
1971,"M02",39.4,28.1
1971,"M03",39.4,27.9
1971,"M04",39.4,27.5
1971,"M05",39.4,27.5
1971,"M06",39.6,27.6
1971,"M07",39.6,27.3
1971,"M08",39.7,28.4
1971,"M09",39.5,28.5
1971,"M10",39.5,28.6
1971,"M11",39.4,28.4
1971,"M12",39.4,28.5
1972,"M01",39.7,28.2
1972,"M02",39.6,28.1
1972,"M03",39.6,28.1
1972,"M04",39.6,27.8
1972,"M05",39.7,28
1972,"M06",39.7,27.7
1972,"M07",39.8,28
1972,"M08",40,28.4
1972,"M09",40.2,29
1972,"M10",40.1,29.1
1972,"M11",40.3,29.3
1972,"M12",40.4,29.3
1973,"M01",40.4,29.4
1973,"M02",40.6,29.6
1973,"M03",40.7,29.7
1973,"M04",41,30.2
1973,"M05",41,30.4
1973,"M06",41.2,31
1973,"M07",41.2,31
1973,"M08",41.2,31
1973,"M09",41.1,30.8
1973,"M10",41.4,32.2
1973,"M11",41.8,33.7
1973,"M12",42.2,35.2
1974,"M01",42.8,37.2
1974,"M02",43.4,39.3
1974,"M03",44.2,42.1
1974,"M04",44.7,42.7
1974,"M05",45.3,43.6
1974,"M06",45.9,43.6
1974,"M07",46.4,43.7
1974,"M08",46.6,43.4
1974,"M09",47,43.2
1974,"M10",47.3,42.6
1974,"M11",47.6,42.4
1974,"M12",47.9,42.5
1975,"M01",48,42.8
1975,"M02",48.3,42.8
1975,"M03",48.7,43
1975,"M04",48.8,43
1975,"M05",48.9,43.5
1975,"M06",49.4,44.5
1975,"M07",50.2,46.1
1975,"M08",50.6,46.5
1975,"M09",51.4,46.9
1975,"M10",51.7,47.3
1975,"M11",52.4,47.3
1975,"M12",52.6,47.2
1976,"M01",53,47.1
1976,"M02",53.3,46.7
1976,"M03",53.8,46.3
1976,"M04",54,45.7
1976,"M05",54.3,46.1
1976,"M06",54.8,46.7
1976,"M07",55.1,46.8
1976,"M08",55.4,46.9
1976,"M09",56,47.2
1976,"M10",56.6,47.8
1976,"M11",57,48.2
1976,"M12",57.3,48.3
1977,"M01",57.8,48.5
1977,"M02",58.2,49.2
1977,"M03",58.7,49.7
1977,"M04",59,49.7
1977,"M05",59.1,50
1977,"M06",59.1,49.7
1977,"M07",59,49.4
1977,"M08",58.9,49.4
1977,"M09",59.1,49.6
1977,"M10",59.3,50.1
1977,"M11",59.5,50.5
1977,"M12",59.8,50.9
1978,"M01",60.1,50.9
1978,"M02",60.2,50.6
1978,"M03",60.3,50.7
1978,"M04",60.4,50.4
1978,"M05",60.7,50.5
1978,"M06",61.1,50.7
1978,"M07",61.6,51.1
1978,"M08",62,51.8
1978,"M09",62.6,52.5
1978,"M10",63.3,53.5
1978,"M11",63.9,54.4
1978,"M12",64.5,55.4
1979,"M01",64.6,56
1979,"M02",65.2,56.4
1979,"M03",66.4,59
1979,"M04",67.8,62.1
1979,"M05",69.1,65.2
1979,"M06",70.5,69.1
1979,"M07",71.7,72.7
1979,"M08",72.7,75.9
1979,"M09",73.5,78.8
1979,"M10",74,80.4
1979,"M11",74.7,81.7
1979,"M12",75.8,83.8
1980,"M01",78,89.8
1980,"M02",79.8,94.1
1980,"M03",81.8,99.6
1980,"M04",82.2,98.7
1980,"M05",82.8,98.7
1980,"M06",82.7,98.1
1980,"M07",83.1,97.9
1980,"M08",83.7,97.8
1980,"M09",84.6,97.7
1980,"M10",85.3,98.5
1980,"M11",86.1,98.7
1980,"M12",86.8,99.4
1981,"M01",88.5,103.5
1981,"M02",90.7,109.9
1981,"M03",91.8,113
1981,"M04",91.7,110.6
1981,"M05",92.2,109
1981,"M06",92.7,107.8
1981,"M07",93.5,107.2
1981,"M08",93.9,107.2
1981,"M09",94.6,107.7
1981,"M10",95.5,108.3
1981,"M11",96.2,108.9
1981,"M12",96.4,108.6
