year,month,CPI (minus food + energy),Housing (minus utilities),Transportation (minus motor fuel),Entertainment
1966,M12,68.79,27.93,10.39,
1967,M01,68.79,27.93,10.39,
1967,M02,69.11771574,27.93,10.47404908,
1967,M03,69.15275981,27.93,10.48668267,
1967,M04,69.37534332,28.03783607,10.53283098,
1967,M05,69.37534332,28.14567213,10.57485552,
1967,M06,69.84735928,28.12238575,10.57485552,
1967,M07,70.12754628,28.23022181,10.6589046,
1967,M08,70.31937524,28.31477149,10.70092914,
1967,M09,70.45360071,28.39932117,10.789102,
1967,M10,70.83891993,28.39932117,10.78497822,
1967,M11,71.34747567,28.53044362,10.86051749,
1967,M12,71.76783898,28.63827969,10.91105184,
1968,M01,71.96549462,28.74600242,10.95691021,
1968,M02,72.12216467,28.83060323,10.9862567,
1968,M03,72.438493,28.93832596,10.99909129,
1968,M04,72.76673393,29.04604869,10.9825794,
1968,M05,72.94707809,29.1306495,10.96974481,
1968,M06,73.52032288,29.34609496,11.04127236,
1968,M07,74.04066949,29.5384185,11.04127236,
1968,M08,74.21465102,29.75386396,11.04494966,
1968,M09,74.54289195,29.86158669,11.07061885,
1968,M10,75.04511441,29.96930942,11.09996533,
1968,M11,75.27835675,30.18475488,11.15865829,
1968,M12,75.94660012,30.40020034,11.11279992,
1969,M01,76.14273623,30.50805692,11.15861507,
1969,M02,76.41236899,30.61591351,11.35677203,
1969,M03,77.09400419,30.91615934,11.55853985,
1969,M04,77.45937112,31.10854858,11.51994644,
1969,M05,77.75586502,31.21640516,11.40619805,
1969,M06,78.13466252,31.40879441,11.42267339,
1969,M07,78.77428583,31.62450758,11.44840234,
1969,M08,78.96683441,31.81689682,11.49060662,
1969,M09,79.50251239,32.00928606,11.46126681,
1969,M10,80.0247598,32.20167531,11.58787966,
1969,M11,80.5505506,32.28620796,11.65581289,
1969,M12,80.9965451,32.50192114,11.71449252,
1970,M01,81.55925437,32.58652787,11.89585746,
1970,M02,82.09266026,32.90969761,11.92521558,
1970,M03,82.83138814,33.31747409,11.94700341,
1970,M04,82.93378464,33.40208083,12.0170751,
1970,M05,83.20380861,33.59441081,12.08479269,
1970,M06,83.93581414,33.80985731,12.20744139,
1970,M07,84.07498154,34.00218729,12.26615763,
1970,M08,84.4352493,34.06367751,12.28794546,
1970,M09,84.7903029,34.34061422,12.34666171,
1970,M10,85.09121873,34.50982769,12.46409421,
1970,M11,85.55237479,34.67904116,12.61988617,
1970,M12,86.00000587,34.76364789,12.76289165,
1971,M01,86.20160925,34.8483485,12.87668985,
1971,M02,86.21617082,34.80263562,13.01281707,
1971,M03,86.43856863,34.67222214,13.03864354,
1971,M04,86.78194734,34.6493657,13.09029647,
1971,M05,87.28211205,34.84162336,13.09029647,
1971,M06,87.67694772,35.11858163,13.16185753,
1971,M07,88.00574367,35.31083929,13.20059722,
1971,M08,87.76418857,35.37268346,13.10078881,
1971,M09,87.96579195,35.56494113,13.00340129,
1971,M10,88.2122339,35.67249818,12.99048806,
1971,M11,88.61612426,35.80291167,12.97407738,
1971,M12,88.5903274,35.8418994,12.96116414,
1972,M01,89.03320748,36.05707739,13.12624899,
1972,M02,89.59405585,36.16466638,13.09690547,
1972,M03,89.52572274,36.14176108,13.09690547,
1972,M04,89.87748911,36.22644477,13.13543263,
1972,M05,90.01824665,36.31112846,13.15193376,
1972,M06,90.34723243,36.50340115,13.19046091,
1972,M07,90.40478315,36.69567384,13.19411965,
1972,M08,90.49302998,36.78035753,13.22712191,
1972,M09,90.79035881,36.88794652,13.2344394,
